iter	Logloss
0	0.5674078716
1	0.4660020529
2	0.393909566
3	0.3449989039
4	0.304054402
5	0.2740016772
6	0.2553065997
7	0.2381981375
8	0.2246827709
9	0.2150799785
10	0.2065604519
11	0.2002333533
12	0.1965094188
13	0.1924209851
14	0.1893523454
15	0.1871284987
16	0.1852053115
17	0.1837280581
18	0.1820975358
19	0.1809876413
20	0.1801399844
21	0.1785928919
22	0.1778215456
23	0.1770506063
24	0.1764513753
25	0.1758245531
26	0.1752045849
27	0.1748056862
28	0.1743205874
29	0.1738266204
30	0.1732794331
31	0.1729277428
32	0.1725553517
33	0.1721478166
34	0.1719566688
35	0.1714206772
36	0.1709532522
37	0.1703308731
38	0.1701746718
39	0.1698782543
40	0.1695421195
41	0.1692393511
42	0.1690932333
43	0.1687607561
44	0.1685040248
45	0.1682031334
46	0.1681429653
47	0.1677667831
48	0.1675654934
49	0.1672263744
50	0.1672263336
51	0.1669606472
52	0.1664775188
53	0.1663114024
54	0.1660578476
55	0.1658932417
56	0.1657331746
57	0.1655266209
58	0.1653785804
59	0.1651659363
60	0.1649595006
61	0.1647860848
62	0.1643516743
63	0.1640334732
64	0.1638244154
65	0.163654495
66	0.1634982607
67	0.1632211839
68	0.1630889307
69	0.1629344677
70	0.1627004499
71	0.1624992143
72	0.1623337593
73	0.1621940349
74	0.1620183343
75	0.1618664598
76	0.1617891408
77	0.1616299014
78	0.1614848775
79	0.1614530703
80	0.1614309085
81	0.1613314232
82	0.1609992945
83	0.1607817539
84	0.1606570334
85	0.1605561772
86	0.1605561252
87	0.1605242171
88	0.1604644763
89	0.1602788214
90	0.1600746009
91	0.1599666917
92	0.1597675531
93	0.1595790177
94	0.1594312011
95	0.1592239105
96	0.1592239034
97	0.1590891921
98	0.1589370184
99	0.1589359635
100	0.1586902659
101	0.1585693018
102	0.1582931162
103	0.1579845179
104	0.1577741298
105	0.1575577156
106	0.1573591278
107	0.1570904334
108	0.1569930888
109	0.1566880552
110	0.1565392532
111	0.1564613338
112	0.1562419768
113	0.1560531974
114	0.1559377293
115	0.1557855063
116	0.1555127202
117	0.1553215319
118	0.1552040229
119	0.1550246091
120	0.1548554398
121	0.1546719487
122	0.1544750629
123	0.1543787712
124	0.1542555088
125	0.1540763304
126	0.1539472419
127	0.1537469734
128	0.1535554412
129	0.1534034136
130	0.1532442678
131	0.1531480927
132	0.1529164842
133	0.1527194508
134	0.1525845991
135	0.1523056046
136	0.1521572436
137	0.1519093386
138	0.1517802834
139	0.1515304941
140	0.1513622518
141	0.1511847243
142	0.1510894152
143	0.1509384556
144	0.1507927843
145	0.1507133462
146	0.1505530641
147	0.1503285621
148	0.1501425379
149	0.1499392342
150	0.1496916912
151	0.1496580773
152	0.1494411026
153	0.149289893
154	0.1491118089
155	0.1489613411
156	0.1487993734
157	0.1486460735
158	0.1485476536
159	0.1483988688
