iter	Passed	Remaining
0	64	129409
1	209	209558
2	348	232189
3	447	223244
4	592	236487
5	755	251028
6	867	246958
7	1015	252854
8	1178	260791
9	1336	265900
10	1563	282644
11	1721	285199
12	1895	289754
13	2062	292633
14	2226	294662
15	2385	295829
16	2526	294739
17	2676	294761
18	2815	293502
19	2935	290596
20	3075	289842
21	3209	288552
22	3351	288089
23	3484	286921
24	3621	286062
25	3753	285010
26	3906	285443
27	4051	285347
28	4191	284900
29	4332	284483
30	4467	283730
31	4606	283294
32	4753	283351
33	4901	283422
34	5036	282757
35	5169	282012
36	5311	281779
37	5449	281363
38	5587	280949
39	5740	281280
40	5878	280879
41	6020	280682
42	6156	280177
43	6290	279650
44	6435	279601
45	6569	279041
46	6703	278554
47	6837	278050
48	6968	277459
49	7105	277101
50	7145	273051
51	7288	273043
52	7439	273295
53	7572	272891
54	7705	272500
55	7842	272249
56	7976	271916
57	8110	271574
58	8245	271260
59	8385	271119
60	8521	270876
61	8661	270742
62	8806	270778
63	8944	270559
64	9079	270283
65	9220	270200
66	9360	270058
67	9501	269964
68	9632	269580
69	9766	269287
70	9913	269348
71	10052	269177
72	10177	268670
73	10315	268491
74	10460	268481
75	10596	268263
76	10726	267893
77	10858	267569
78	10984	267091
79	11126	267041
80	11227	265998
81	11355	265614
82	11507	265774
83	11641	265530
84	11785	265524
85	11922	265344
86	11965	263094
87	12089	262665
88	12221	262427
89	12359	262292
90	12535	262973
91	12696	263307
92	12865	263805
93	13020	264014
94	13158	263863
95	13295	263687
96	13362	262150
97	13484	261703
98	13644	262003
99	13691	260144
100	13853	260481
101	14001	260539
102	14157	260748
103	14324	261146
104	14491	261543
105	14655	261869
106	14798	261817
107	14994	262684
108	15148	262804
109	15290	262712
110	15450	262942
111	15626	263426
112	15795	263769
113	15941	263739
114	16100	263906
115	16247	263889
116	16395	263863
117	16542	263843
118	16681	263683
119	16803	263261
120	16939	263054
121	17102	263270
122	17251	263259
123	17378	262913
124	17516	262747
125	17681	262983
126	17827	262916
127	17957	262632
128	18096	262467
129	18234	262292
130	18358	261926
131	18488	261635
132	18628	261502
133	18768	261358
134	18901	261122
135	19051	261121
136	19185	260896
137	19330	260824
138	19473	260722
139	19609	260521
140	19749	260385
141	19897	260350
142	20031	260134
143	20169	259958
144	20301	259721
145	20444	259611
146	20574	259345
147	20711	259174
148	20845	258963
149	20961	258527
150	21112	258519
151	21238	258219
152	21377	258069
153	21520	257970
154	21687	258154
155	21844	258213
156	21984	258068
157	22118	257858
158	22247	257591
159	22385	257436
